cbsatitle,2013,2014,2015
"Prescott, AZ (Metropolitan Statistical Area)",5024.4,5300.2,5484.9
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",72338.5,74614.2,78520.3
"Provo-Orem, UT (Metropolitan Statistical Area)",17947.8,19120.7,21842.8
"Pueblo, CO (Metropolitan Statistical Area)",4416.2,4631.6,4796.4
"Punta Gorda, FL (Metropolitan Statistical Area)",3301.1,3594.4,3942.5
"Racine, WI (Metropolitan Statistical Area)",7534.7,7656.1,7916.9
"Raleigh, NC (Metropolitan Statistical Area)",64533.8,69056,75776.9
"Rapid City, SD (Metropolitan Statistical Area)",5916.6,6214.1,6331.2
"Reading, PA (Metropolitan Statistical Area)",16533.4,17974.7,18889.4
"Redding, CA (Metropolitan Statistical Area)",5259.3,5570.9,5930.1
"Reno, NV (Metropolitan Statistical Area)",20804.1,22224.2,23359.2
"Richmond, VA (Metropolitan Statistical Area)",69830.7,72156.9,76874.7
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",127771,133909,144079.1
"Roanoke, VA (Metropolitan Statistical Area)",14089.6,14348.9,15098.9
"Rochester, MN (Metropolitan Statistical Area)",10658.2,10925.9,11366.1
"Rochester, NY (Metropolitan Statistical Area)",53140.9,52637.3,54854
"Rockford, IL (Metropolitan Statistical Area)",13722.6,14250.3,14611.9
"Rocky Mount, NC (Metropolitan Statistical Area)",6032.7,6006,6273.7
"Rome, GA (Metropolitan Statistical Area)",3496.5,3599.4,3728.7
"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",104463.4,109222.5,116188.9
"Saginaw, MI (Metropolitan Statistical Area)",7644.1,7756,7881.5
"St. Cloud, MN (Metropolitan Statistical Area)",8539.3,9090.3,9311.2
"St. George, UT (Metropolitan Statistical Area)",3955.2,4238.6,4672.6
"St. Joseph, MO-KS (Metropolitan Statistical Area)",5609.6,5462.2,5362.3
"St. Louis, MO-IL (Metropolitan Statistical Area)",146335.6,150667.4,155377.4
"Salem, OR (Metropolitan Statistical Area)",13132.2,14069.9,15336.5
"Salinas, CA (Metropolitan Statistical Area)",20559.5,20927.4,22507.9
"Salisbury, MD-DE (Metropolitan Statistical Area)",15130,16266.4,17897
"Salt Lake City, UT (Metropolitan Statistical Area)",71636.4,75213.6,80643.8
"San Angelo, TX (Metropolitan Statistical Area)",4828.4,5416.2,5154.4
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",101348.2,110313.2,115019.6
"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",198311.6,204914.7,211806.6
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",385451.5,413026.5,445123.5
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",193715.6,210690.2,237831.8
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",13094.5,13412.2,14221.7
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",11710.6,12237.8,12846
"Santa Fe, NM (Metropolitan Statistical Area)",6974,6733.9,6954.9
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",22908.1,23630.5,25207.7
"Santa Rosa, CA (Metropolitan Statistical Area)",22890,24356.7,26531.5
"Savannah, GA (Metropolitan Statistical Area)",15304.1,16197.2,17052.7
"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",21871.4,21813.5,22768.8
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",280291,296027.6,317153.1
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",4417.5,4816.4,5222
"Sebring, FL (Metropolitan Statistical Area)",1975.4,1904.1,1989.8
"Sheboygan, WI (Metropolitan Statistical Area)",5513.5,5691.4,6008.3
"Sherman-Denison, TX (Metropolitan Statistical Area)",3977.4,3995.3,4178.9
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",21696.1,22262,21581.2
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",3968.3,3847.4,3877
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",8695.6,8814.4,9503.6
"Sioux Falls, SD (Metropolitan Statistical Area)",15919.1,16835.7,17930.2
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",12407.6,12882.4,13582.7
"Spartanburg, SC (Metropolitan Statistical Area)",12547,13346.5,14302.9
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",21555.1,22519.9,23548.5
"Springfield, IL (Metropolitan Statistical Area)",9390.9,9772.9,9984.6
